 ,"Christmas/New Years
Dec 20- Jan 4","MLK Weekend
Jan 17 - 19","President's Weekend
Feb 14 - 16","Peak Saturdays
Jan 10 - Mar 7","Peak Sundays
Jan 11 - Mar 8",Additional Blackout Dates
49° North Mountain Resort,X,X,X,,,
Bear Valley Mountain Resort,X,X,X,,,
Beaver Mountain Ski Area,X,X,X,X,X,
Big White Ski Resort ,X,X,X,X,X,
Brundage Mountain Resort,X,X,X,,,
Buffalo Ski Club,,,,X,,01/03/2026. Skiing is available after 2pm on all blackout dates.
Caberfae Peaks,Partial (See Additional),,,X,,12/27/2025; 01/03/2026
Canaan Valley,X,X,X,,,1/16/2026;  2/13/2026
Cannon Mountain,,X,X,X,X,01/03/26-01/04/2026; 01/10/26-01/11/2026
Chestnut Mountain Resort,,,,Partial (See Additional),Partial (See Additional),01/10/2026-01/11/2026
"Crystal Mountain, MI",X,X,X,,,
Detroit Mountain Recreation Area,X,X,X,,,
Dodge Ridge Mountain Resort,X,X,X,,,
Donner Ski Ranch,X,X,X,X,X,02/17-02/22/2026
Granby Ranch,Partial (See Additional),,,,,12/27/2025-01/03/2026
Granite Peak,X,X,X,X,,
Hochzeiger Pitztal,X,,,,,
Hoedown Hill,Partial (See Additional),,,,,12/25/2026
Hoodoo Ski Area,X,,,,,
Hunt Hollow Ski Club,,,,X,X,All Saturdays & Sundays throughout season
Hyland Hills Ski Area,X,,,,,
Kelly Canyon Resort,X,,,,,
The Krvavec Ski Resort,X,,,,,
Leavenworth Winter Sports Club,X,X,X,,,
Levi Ski Resort,Partial (See Additional),,Partial (See Additional),,,12/21-25-1/3/2026; 2/14-2/22/2026; 4/2-4/6/2026
Little Ski Hill,,,,Partial (See Additional),,01/16/2026; 02/13/2026; 03/06/2026; 03/14/2026
Loup Loup Ski Bowl,X,,,,,
Lutsen Mountains,X,X,X,X,,
Manning Park Resort,X,,X,X,,
Marble Mountain,X,,,,,12/01/2025
Marquette Mountain,,,Partial (See Additional),,,02/14/26-02/15/2026
Massanutten Resort,X,X,X,,,
Meadowlark Ski Lodge,X,,,,,
Mission Ridge,X,X,X,X,X,
Mohawk Mountain Ski Area,,X,X,,,
Mont Ripley ,,,X,,,02/04-02/08/2026
Mont Sutton,Partial (See Additional),,Partial (See Additional),,Partial (See Additional),12/27-12/28/25; 2/7-2/8/26; 2/14-2/15/26; 2/22/26; 2/28/26; 3/1-3/8/26
Montage Mountain,Partial (See Additional),X,X,,,12/26/2025-01/01/2026
Montana Snowbowl,X,X,X,X,X,
Mountain High Resort,X,X,X,,,
Mt. Hood Meadows,X,X,X,X,X,
Mt. La Crosse,Partial (See Additional),,X,Partial (See Additional),Partial (See Additional),12/24/25-01/01/2026; 01/23/26-01/25/2026; 01/31/26-02/01/2026; 02/12/26-02/13/26; 2/28/26-01/01/26
Mt. Shasta Ski Park,,X,X,,,
Mt. Washington Alpine Resort,X,,X,,,
Nub's Nob Ski Area,X,X,X,X,,
Ober Mountain,X,X,X,X,X,
Owl's Head,X,,,,,
Pats Peak,X,X,X,,,
Peek'n Peak Resort,X,X,X,,,
Ragged Mountain Resort,Partial (See Additional),X,X,,,12/27-12/28/2025
Red Lodge Mountain,X,,X,,,Saturdays in March - 03/07/2026; 03/14/2026; 03/21/2026; 03/28/2026
Sasquatch Mountain Resort,X,,,,,
Schuss Mountain Shanty Creek,X,X,X,,,
Shawnee Mountain,Partial (See Additional),X,X,X,,12/24/25-1/04/2026
Silver Mountain,X,X,X,X,,
Ski Big Bear at Masthope Mountain,Partial (See Additional),X,X,,,12/26/25-01/04/2026; 02/17/26-02/21/2026
Snowriver,X,X,X,X,,
Sundown Mountain Resort ,,X,X,,,01/25/2026-01/26/2026
Tenney Mountain,Partial (See Additional),Partial (See Additional),X,,,12/26 - 12/31/25; 1/17 - 1/18/25; 2/14 - 2/21/26
Terry Peak Ski Area,X,X,X,X,,
Tree Tops Ski Resort,X,X,X,X,,
Tussey Mountain Ski Area,,X,,,,
White Pass Ski Area,X,X,X,X,X,
X = Blackout Date,,,,,,
