PARTICIPATING INDY LEARN TO TURN RESORT (NO ACCESS UNLESS RESORT IS LISTED),"Christmas/New Years
Dec 20- Jan 4","MLK Weekend
Jan 17 - 19","President's Weekend
Feb 14 - 16","Peak Saturdays
Jan 10 - Mar 7","Peak Sundays
Jan 11 - Mar 8",Additional Blackout Dates/Details,Survey - LTT Pass,Reservations Required?,Comments - To be Deleted
Bear Creek Mountain Resort,BLACKOUT,BLACKOUT,BLACKOUT,BLACKOUT,BLACKOUT,,Yes,Yes,
Berkshire East,PARTIAL (SEE ADDITIONAL),BLACKOUT,BLACKOUT,PARTIAL (SEE ADDITIONAL),BLACKOUT,Opening day-12/21/25; 12/26-1/2/26; 1/19/2026; 2/16-2/20/26.Bershire East allows Saturday redemptions starting at 4:30pm.,Yes,Yes,
Big Rock Mountain,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,,No Survey,No Survey,Contract Signed
"Black Mountain Ski Area, NH",NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,,No Survey,No Survey,Contract Signed
Blacktail Mountain Ski Area,BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,,Yes,Yes,Contract Signed
Bluewood,PARTIAL (SEE ADDITIONAL),NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,12/26/25-12/28/2025,Yes,No,Contract Signed
Bolton Valley Resort,BLACKOUT,BLACKOUT,BLACKOUT,BLACKOUT,BLACKOUT,"All weekends, plus 02/16/26-02/20/2026",No Survey,No Survey,Contract Signed
Bousquet Mountain,BLACKOUT,BLACKOUT,BLACKOUT,NO BLACKOUT,NO BLACKOUT,,Yes,,Contract Signed
Centre Vorlage,,,,,,,Yes,Yes,Contract Sent
Centre Vorlage,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,,Yes,Yes,
Chestnut Mountain Resort,BLACKOUT,BLACKOUT,BLACKOUT,BLACKOUT,BLACKOUT,01/09/26; 01/16/26; 01/23/26; 01/30/26; 02/06/26; 02/13/26; 02/20/26; 02/27/2026,Yes,No,Contract signed
Christie Mountain,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,,Yes,Yes,
Crystal Ridge,BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,Lessons take place in CR's Terrain Based Learning Area. Instructors are now available after 7pm on weekdays and 6pm on weekends.,Yes,No,
Dartmouth Skiway,PARTIAL (SEE ADDITIONAL),PARTIAL (SEE ADDITIONAL),PARTIAL (SEE ADDITIONAL),PARTIAL (SEE ADDITIONAL),PARTIAL (SEE ADDITIONAL),All weekends,Yes,Yes,Contract Signed
Eagle Point Resort,,,,,,,Yes,Yes,Contract Sent
Eagle Point Resort,PARTIAL (SEE ADDITIONAL),BLACKOUT,BLACKOUT,NO BLACKOUT,NO BLACKOUT,12/25/25-01/03/2026,Yes,Yes,
Greek Peak Mountain Resort,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,,Yes,Yes,Contract Signed
Hunt Hollow Ski Club,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,,Yes,Yes,Contract Signed
Jay Peak,PARTIAL (SEE ADDITIONAL),BLACKOUT,BLACKOUT,NO BLACKOUT,NO BLACKOUT,12/26/25 - 1/1/26; 2/17-2/22/26. Available to Adults Only (13 & Up).,Yes,,Contract Signed
