name,city,state,country
Steinplatte,Waidring,Tyrol,Austria
Apex Mountain Resort,Penticton,British Columbia,Canada
Portes du Soleil,,,
Togakushi Ski Resort,Nagano,Nagano,Japan
Lutsen Mountains,Lutsen,Minnesota,United States
White Pine Touring Nordic Center,Park City,Utah,United States
Jay Peak Resort,Jay,Vermont,United States
Aomori Spring Ski Resort,Hirosaki,Aomori,Japan
Caledonia Nordic Ski Club,Prince George,British Columbia,Canada
Tussey Mountain,State College,Pennsylvania,United States
Baqueira/Beret,Baqueira,Cataluña,Spain
Antelope Butte,Shell,Wyoming,United States
Minocqua Winter Park,Minocqua,Wisconsin,United States
Saddleback Mountain,Rangeley,Maine,United States
Snowstar,Andalusia,Illinois,United States
Takasu Snow Park,Gujo,Gifu,Japan
White Pass,,Washington,United States
Black Mountain Ski Area,Jackson,New Hampshire,United States
Mount Baldy Ski Area,Thunder Bay,Ontario,Canada
Hudson Bay Mountain,Smithers,British Columbia,Canada
Big Rock Mountain,Mars Hill,Maine,United States
Canmore Ski Village,,Hokkaido,Japan
Hilltop Ski Area,Anchorage,Alaska,United States
Massif du Sud,Saint-Philémon,Quebec,Canada
Snow Ridge,,New York,United States
Glenshee Ski Centre,,Scotland,United Kingdom
White Pine Resort,Pinedale,Wyoming,United States
Mission Ridge,Wenatchee,Washington,United States
Swain Resort,Swain,New York,United States
Fairmont Hot Springs,Fairmont Hot Springs,British Columbia,Canada
Hockley Valley Resort,Mono,Ontario,Canada
Moose Mountain,Fairbanks,Alaska,United States
Meadowlark Ski Resort,Ten Sleep,Wyoming,United States
Peek ‘n Peak,Clymer,New York,United States
Bousquet Mountain,Pittsfield,Massachusetts,United States
Greek Peak Mountain Resort,Cortland,New York,United States
Cape Smokey,Ingonish Beach,Nova Scotia,Canada
Okunakayama Kogen,Morioka,Iwate,Japan
Ragged Mountain,Danbury,New Hampshire,United States
Bear Valley Mountain Resort,Bear Valley,California,United States
Camden Snow Bowl,Camden,Maine,United States
Loch Lomond,Thunder Bay,Ontario,Canada
Montage Mountain,Scranton,Pennsylvania,United States
Hoodoo,Sisters,Oregon,United States
Lost Valley,Auburn,Maine,United States
Echo Mountain,Evergreen,Colorado,United States
Mont Ripley Ski Area,Hancock,Michigan,United States
Ercİyes Ski Resort,,Kayseri,Türkiye
LOGE Glacier,Essex,Montana,United States
Dog Creek Lodge & Nordic Center,Whitefish,Montana,United States
Rikert Nordic Center,Ripton,Vermont,United States
Christie Mountain,Bruce,Wisconsin,United States
Leukerbad Torrent Ski Resort & Gemmi Resort,Leukerbad,Valais,Switzerland
Bear Valley Adventure Company,Bear Valley,California,United States
Sovereign Lake Nordic Club,Vernon,British Columbia,Canada
Titus Mountain,Malone,New York,United States
McIntyre Ski Area,Manchester,New Hampshire,United States
Kamui Ski Links,Asahikawa,Hokkaido,Japan
Snow King Mountain Resort,Jackson,Wyoming,United States
Arctic Valley,Anchorage,Alaska,United States
Red Lodge Mountain,Red Lodge,Montana,United States
Norefjell Ski Resort,Noresund,Buskerud,Norway
Maplelag Resort,Callaway,Minnesota,United States
Pippu Ski Resort,Asahikawa,Hokkaido,Japan
Terry Peak,Lead,South Dakota,United States
Cooper Spur Ski Area,Parkdale,Oregon,United States
Mont Sutton,Sutton,Quebec,Canada
Nelson Nordic Ski Club,Nelson,British Columbia,Canada
Nayoro Piyashiri Ski Resort,Nayoro,Hokkaido,Japan
Pine Mountain,Iron Mountain,Michigan,United States
Loveland Ski Area,Georgetown,Colorado,United States
Beaver Mountain,Garden City,Utah,United States
Bolton Valley Resort,Burlington,Vermont,United States
Kurohime Kogen,Nagano,Nagano,Japan
Cherry Peak,Richmond,Utah,United States
Blacktail Mountain Resort,Lakeside,Montana,United States
SkiWelt,Söll,Tyrol,Austria
Mont Habitant,Saint-Sauveur,Quebec,Canada
Telemark Nordic Center,Kelowna,British Columbia,Canada
Middlebury Snowbowl,Hancock,Vermont,United States
Crosscut Mountain Sports Center,Bozeman,Montana,United States
Palcall Tsumagoi Resort,Tsumagoi,Gunma,Japan
Ski Sawmill,Morris,Pennsylvania,United States
Blue Knob All Season Resort,Claysburg,Pennsylvania,United States
Glencoe Mountain Resort,Glencoe,Scotland,United Kingdom
Andes Tower Hills,Alexandria,Minnesota,United States
Hurricane Ridge,Port Angeles,Washington,United States
High Point XC Ski Center,,New Jersey,United States
Soldier Mountain,Fairfield,Idaho,United States
Ninox Snow Park,Shibata,Niigata,Japan
Granby Ranch,Granby,Colorado,United States
Pass Powderkeg,,Alberta,Canada
Powder Ridge,Kimball,Minnesota,United States
Quarry Road Trails,Waterville,Maine,United States
Spirit Mountain,Duluth,Minnesota,United States
Malá Úpa,Malá Úpa,Hradec Králové Region,Czechia
Ober Mountain,Gatlinburg,Tennessee,United States
Sunlight Mountain Resort,Glenwood Springs,Colorado,United States
Brundage Mountain Resort,McCall,Idaho,United States
Paul Bunyan Ski Hill,Lakewood,Wisconsin,United States
Kimberley Nordic Club,Kimberley,British Columbia,Canada
Woodstock Nordic Center,Woodstock,Vermont,United States
Amihari Onsen Ski Resort,Morioka,Iwate,Japan
Magic Mountain Idaho,Kimberly,Idaho,United States
Montana Snowbowl,Missoula,Montana,United States
