,name,location_name,longitude,latitude,vertical,is_nordic,is_alpine_xc,is_xc_only,is_allied,num_trails,num_lifts,is_open_nights,has_terrain_parks,web_page,is_alpine_xc_display,is_open_nights_display,has_terrain_parks_display,is_allied_display
42,49 Degrees North,"Chewelah, WA, USA",-117.6042013,48.3010898,"{'elevation': 1851, 'summit': 5774, 'base': 3923}",True,True,False,False,88,7,False,True,https://www.indyskipass.com/our-resorts/49-degrees-north,Yes,No,Yes,No
350,Amihari Onsen Ski Resort,"Morioka City, Iwate Prefecture, Japan",140.93623505636,39.821302978855,"{'elevation': 1969, 'summit': 4430, 'base': 2461}",False,False,False,False,7,4,False,False,https://www.indyskipass.com/our-resorts/amihari-onsen-ski-resort,No,No,No,No
43,Andes Tower Hills,"Alexandria, MN, USA",-95.6330774,45.850975,"{'elevation': 290, 'summit': 1330, 'base': 1620}",True,True,False,False,16,6,True,True,https://www.indyskipass.com/our-resorts/andes-tower-hills,Yes,Yes,Yes,No
44,Ani Ski Resort,"Akita, Tohoku, Japan",140.4950898,39.9573111,"{'elevation': 2175, 'summit': 3937, 'base': 1761}",False,False,False,False,5,3,False,False,https://www.indyskipass.com/our-resorts/ani-ski-resort,No,No,No,No
45,Antelope Butte,"Shell, WY, USA",-107.5171051,44.6124452,"{'elevation': 1000, 'summit': 9400, 'base': 8400}",False,False,False,False,30,3,False,True,https://www.indyskipass.com/our-resorts/antelope-butte,No,No,Yes,No
46,Aomori Spring Ski Resort,"Hirosaki, Tohoku, Japan",140.2767197,40.693185,"{'elevation': 1788, 'summit': 3025, 'base': 1303}",False,False,False,False,14,5,True,True,https://www.indyskipass.com/our-resorts/aomori-spring-ski-resort,No,Yes,Yes,No
47,Apex Mountain Resort,"Penticton, BC, CA",-119.9060377,49.3908831,"{'elevation': 1979, 'summit': 7146, 'base': 5167}",False,False,False,False,80,4,True,True,https://www.indyskipass.com/our-resorts/apex-mountain-resort,No,Yes,Yes,No
48,Arctic Valley,"Anchorage, AK, USA",-149.5350607,61.2465242,"{'elevation': 1400, 'summit': 3900, 'base': 2500}",False,False,False,False,15,4,False,True,https://www.indyskipass.com/our-resorts/arctic-valley,No,No,Yes,No
49,Baldy Mountain Resort,"Oliver, BC, CA",-119.2411421,49.1530415,"{'elevation': 1315, 'summit': 6965, 'base': 5650}",False,False,False,False,35,3,True,True,https://www.indyskipass.com/our-resorts/baldy-mountain-resort,No,Yes,Yes,No
365,Baqueira/Beret,"Baqueira, Spain",0.9064088,42.6952103,"{'elevation': 3608, 'summit': 8560, 'base': 4900}",False,False,False,False,122,36,False,True,https://www.indyskipass.com/our-resorts/baqueiraberet,No,No,Yes,No
396,Bear Creek,"Macungie, PA",-75.6496577,40.4813472,"{'elevation': 510, 'summit': 1100, 'base': 590}",False,False,False,False,23,6,True,True,https://www.indyskipass.com/our-resorts/bear-creek,No,Yes,Yes,No
